ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
657.0,62,TUNJUELITO,06,TUNJUELITO,8.0
658.0,62,TUNJUELITO,06,TUNJUELITO,4.0
675.0,67,LUCERO,19,CIUDAD BOLIVAR,4.0
674.0,67,LUCERO,19,CIUDAD BOLIVAR,2.0
634.0,39,QUIROGA,18,RAFAEL URIBE URIBE,12.0
979.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,5.0
677.0,62,TUNJUELITO,06,TUNJUELITO,4.0
676.0,62,TUNJUELITO,06,TUNJUELITO,2.0
708.0,67,LUCERO,19,CIUDAD BOLIVAR,1.0
709.0,67,LUCERO,19,CIUDAD BOLIVAR,3.0
710.0,67,LUCERO,19,CIUDAD BOLIVAR,0.0
711.0,67,LUCERO,19,CIUDAD BOLIVAR,1.0
502.0,38,RESTREPO,15,ANTONIO NARIÑO,9.0
437.0,38,RESTREPO,15,ANTONIO NARIÑO,6.0
436.0,37,SANTA ISABEL,14,LOS MARTIRES,6.0
431.0,40,CIUDAD MONTES,16,PUENTE ARANDA,3.0
435.0,37,SANTA ISABEL,14,LOS MARTIRES,3.0
430.0,40,CIUDAD MONTES,16,PUENTE ARANDA,3.0
587.0,39,QUIROGA,18,RAFAEL URIBE URIBE,3.0
588.0,39,QUIROGA,18,RAFAEL URIBE URIBE,7.0
586.0,39,QUIROGA,18,RAFAEL URIBE URIBE,4.0
975.0,36,SAN JOSE,18,RAFAEL URIBE URIBE,0.0
637.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE,1.0
609.0,36,SAN JOSE,18,RAFAEL URIBE URIBE,4.0
638.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE,2.0
655.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,3.0
977.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE,1.0
973.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,3.0
636.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE,3.0
654.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,2.0
679.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,3.0
678.0,62,TUNJUELITO,06,TUNJUELITO,3.0
680.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,4.0
614.0,39,QUIROGA,18,RAFAEL URIBE URIBE,5.0
613.0,39,QUIROGA,18,RAFAEL URIBE URIBE,5.0
612.0,39,QUIROGA,18,RAFAEL URIBE URIBE,5.0
611.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE,3.0
585.0,39,QUIROGA,18,RAFAEL URIBE URIBE,2.0
982.0,39,QUIROGA,18,RAFAEL URIBE URIBE,3.0
591.0,36,SAN JOSE,18,RAFAEL URIBE URIBE,3.0
590.0,36,SAN JOSE,18,RAFAEL URIBE URIBE,5.0
592.0,36,SAN JOSE,18,RAFAEL URIBE URIBE,6.0
615.0,39,QUIROGA,18,RAFAEL URIBE URIBE,4.0
616.0,42,VENECIA,06,TUNJUELITO,4.0
576.0,42,VENECIA,06,TUNJUELITO,3.0
617.0,42,VENECIA,06,TUNJUELITO,2.0
574.0,42,VENECIA,06,TUNJUELITO,3.0
584.0,39,QUIROGA,18,RAFAEL URIBE URIBE,5.0
581.0,38,RESTREPO,15,ANTONIO NARIÑO,3.0
582.0,38,RESTREPO,15,ANTONIO NARIÑO,5.0
504.0,38,RESTREPO,15,ANTONIO NARIÑO,5.0
593.0,34,20 DE JULIO,04,SAN CRISTOBAL,6.0
505.0,38,RESTREPO,15,ANTONIO NARIÑO,6.0
986.0,38,RESTREPO,15,ANTONIO NARIÑO,4.0
583.0,39,QUIROGA,18,RAFAEL URIBE URIBE,3.0
694.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
695.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
696.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
698.0,50,LA GLORIA,04,SAN CRISTOBAL,1.0
