ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad
972.0,50,LA GLORIA,04,SAN CRISTOBAL
603.0,32,SAN BLAS,04,SAN CRISTOBAL
601.0,32,SAN BLAS,04,SAN CRISTOBAL
529.0,82,PATIO BONITO,08,KENNEDY
414.0,82,PATIO BONITO,08,KENNEDY
413.0,79,CALANDAIMA,08,KENNEDY
994.0,78,TINTAL NORTE,08,KENNEDY
398.0,77,ZONA FRANCA,09,FONTIBON
397.0,75,FONTIBON,09,FONTIBON
317.0,112,GRANJAS DE TECHO,09,FONTIBON
955.0,112,GRANJAS DE TECHO,09,FONTIBON
392.0,112,GRANJAS DE TECHO,09,FONTIBON
255.0,99,CHAPINERO,02,CHAPINERO
848.0,97,CHICO LAGO,02,CHAPINERO
240.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
234.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
396.0,79,CALANDAIMA,08,KENNEDY
412.0,82,PATIO BONITO,08,KENNEDY
415.0,82,PATIO BONITO,08,KENNEDY
528.0,82,PATIO BONITO,08,KENNEDY
527.0,80,CORABASTOS,08,KENNEDY
391.0,46,CASTILLA,08,KENNEDY
950.0,46,CASTILLA,08,KENNEDY
998.0,115,CAPELLANIA,09,FONTIBON
305.0,115,CAPELLANIA,09,FONTIBON
314.0,75,FONTIBON,09,FONTIBON
311.0,75,FONTIBON,09,FONTIBON
312.0,75,FONTIBON,09,FONTIBON
403.0,75,FONTIBON,09,FONTIBON
239.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
236.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
235.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
231.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
232.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
324.0,112,GRANJAS DE TECHO,09,FONTIBON
388.0,113,BAVARIA,08,KENNEDY
389.0,46,CASTILLA,08,KENNEDY
417.0,47,KENNEDY CENTRAL,08,KENNEDY
408.0,46,CASTILLA,08,KENNEDY
390.0,46,CASTILLA,08,KENNEDY
526.0,47,KENNEDY CENTRAL,08,KENNEDY
409.0,46,CASTILLA,08,KENNEDY
321.0,114,MODELIA,09,FONTIBON
322.0,110,CIUDAD SALITRE OCCIDENTAL,09,FONTIBON
319.0,114,MODELIA,09,FONTIBON
954.0,114,MODELIA,09,FONTIBON
320.0,114,MODELIA,09,FONTIBON
198.0,73,GARCES NAVAS,10,ENGATIVA
200.0,30,BOYACA REAL,10,ENGATIVA
204.0,31,SANTA CECILIA,10,ENGATIVA
301.0,31,SANTA CECILIA,10,ENGATIVA
303.0,31,SANTA CECILIA,10,ENGATIVA
238.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
237.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
230.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
227.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
226.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS
282.0,100,GALERIAS,13,TEUSAQUILLO
281.0,100,GALERIAS,13,TEUSAQUILLO
275.0,99,CHAPINERO,02,CHAPINERO
274.0,90,PARDO RUBIO,02,CHAPINERO
273.0,90,PARDO RUBIO,02,CHAPINERO
267.0,90,PARDO RUBIO,02,CHAPINERO
283.0,100,GALERIAS,13,TEUSAQUILLO
286.0,100,GALERIAS,13,TEUSAQUILLO
288.0,100,GALERIAS,13,TEUSAQUILLO
285.0,100,GALERIAS,13,TEUSAQUILLO
287.0,100,GALERIAS,13,TEUSAQUILLO
279.0,101,TEUSAQUILLO,13,TEUSAQUILLO
280.0,100,GALERIAS,13,TEUSAQUILLO
276.0,99,CHAPINERO,02,CHAPINERO
277.0,99,CHAPINERO,02,CHAPINERO
272.0,90,PARDO RUBIO,02,CHAPINERO
271.0,99,CHAPINERO,02,CHAPINERO
343.0,91,SAGRADO CORAZON,03,SANTA FE
290.0,106,LA ESMERALDA,13,TEUSAQUILLO
325.0,112,GRANJAS DE TECHO,09,FONTIBON
385.0,113,BAVARIA,08,KENNEDY
386.0,113,BAVARIA,08,KENNEDY
953.0,113,BAVARIA,08,KENNEDY
