codigo_upz;poblacion_2005;codigo_localidad;nombre_localidad;nombre_upz;area_urbana_2009;poblacion_urbana_2009;densidad_urbana_2009;poblacion_por_localidad_2005;personas_por_localidad_2007;personas_por_hogar_2007_localidad;gasto_promedio_mensual_2007_localidad;ICV_2007_localidad
112.0;18061.0;9.0;FONTIBON;GRANJAS DE TECHO;477.255.354.063;22861.0;479.009.817.394;301.375;317.179;3,46;1.428.379;90,03
113.0;20854.0;8.0;KENNEDY;BAVARIA;27.722.789.458;20993.0;757.247.030.708;951.073;979.914;3,72;999.300;88,94
114.0;38386.0;9.0;FONTIBON;MODELIA;261.581.365.518;39410.0;150.660.579.059;301.375;317.179;3,46;1.428.379;90,03
115.0;15427.0;9.0;FONTIBON;CAPELLANIA;272.109.155.246;16657.0;612.144.048.771;301.375;317.179;3,46;1.428.379;90,03
116.0;12319.0;10.0;ENGATIVA;ALAMOS;200.244.113.699;13641.0;681.218.526.129;804.47;824.337;3,41;1.089.512;91,78
117.0;412.0;9.0;FONTIBON;AEROPUERTO EL DORADO;743.536.979.514;835.0;112.301.072.173;301.375;317.179;3,46;1.428.379;90,03
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
