codigo_localidad,AÑO,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
15.0,2022,123,0,56,67,80791,38192,42599,15.224468071938706,15.224468071938706,17.542940930037705,13.145848494096105
15.0,2023,2,0,1,1,80412,37875,42537,0.24871909665224098,0.24871909665224098,0.26402640264026406,0.23508945153630958
16.0,2018,302,0,112,190,242905,117754,125151,12.432844116012433,12.432844116012433,16.13533298231907,8.94918937922989
16.0,2019,338,0,149,189,247237,120652,126585,13.671092918940127,13.671092918940127,15.664887444882803,11.770746928941028
16.0,2020,244,0,86,158,250855,122500,128355,9.726734567778198,9.726734567778198,12.897959183673468,6.700167504187605
16.0,2021,324,0,120,204,252241,123312,128929,12.844858686732133,12.844858686732133,16.543402101985208,9.307448285490464
16.0,2022,268,0,117,151,252491,123378,129113,10.614239715475009,10.614239715475009,12.238810809058341,9.061829560152734
16.0,2023,5,0,0,5,252497,123355,129142,0.19802215471866993,0.19802215471866993,0.4053341980462892,0.0
17.0,2018,115,0,63,52,17075,9012,8063,67.34992679355783,67.34992679355783,57.70084332001775,78.13468932159246
17.0,2019,123,0,46,77,17345,9085,8260,70.91380801383684,70.91380801383684,84.75509080902586,55.690072639225185
17.0,2020,50,0,21,29,17508,9175,8333,28.558373315055974,28.558373315055974,31.607629427792915,25.20100804032161
17.0,2021,63,0,28,35,17361,9066,8295,36.28823224468636,36.28823224468636,38.6057798367527,33.755274261603375
17.0,2022,71,0,28,43,17171,8942,8229,41.34878574340458,41.34878574340458,48.08767613509282,34.02600558998663
18.0,2018,229,0,85,144,364532,180338,184194,6.282027366596074,6.282027366596074,7.985005933303019,4.61469971877477
18.0,2019,272,0,106,166,372981,184454,188527,7.292596673825208,7.292596673825208,8.999533759094408,5.6225368249640635
18.0,2020,220,0,77,143,379794,187871,191923,5.79261389068811,5.79261389068811,7.6116058359193275,4.012025656122508
18.0,2021,256,0,109,147,381878,188838,193040,6.703711656602371,6.703711656602371,7.78445016363232,5.646498135101533
18.0,2022,185,0,72,113,381509,188106,193403,4.849164764134005,4.849164764134005,6.0072512306890795,3.7227964405929583
19.0,2018,185,0,84,101,604668,294968,309700,3.05953018846706,3.05953018846706,3.4241002413821158,2.7123022279625446
19.0,2019,243,0,104,139,619706,304313,315393,3.9212142532103935,3.9212142532103935,4.567665528584056,3.2974733110753887
