codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
16.0,2018,2558,4,30,19,14,1,1224,1399,67760,30437,37323,387.39669421487605,377.50885478158204,0.5903187721369539,4.427390791027155,2.8040141676505312,2.0661157024793386,459.63794066432297,327.9479141548107
16.0,2019,621,2,25,9,11,1,305,361,69695,31338,38357,95.84618695745749,89.10251811464236,0.2869646316091542,3.587057895114427,1.2913408422411936,1.578305473850348,115.1956091645925,79.51612482728056
16.0,2020,90,7,15,10,10,1,48,83,70850,31933,38917,18.63091037402964,12.70289343683839,0.9880028228652082,2.117148906139732,1.4114326040931546,1.4114326040931546,25.99192058372217,12.333941465169461
16.0,2021,107,3,19,20,12,0,74,87,72077,32511,39566,22.337222692398406,14.84523495705981,0.41622154085214425,2.636069758730247,2.7748102723476284,1.664886163408577,26.760173479745315,18.70292675529495
16.0,2022,74,0,0,12,7,0,34,59,72809,32920,39889,12.773146176983616,10.16357867846008,0.0,0.0,1.6481478938043375,0.9614196047191967,17.922235722964764,8.523653137456442
16.0,2023,0,3,0,11,5,1,2,16,73163,33143,40020,2.596941076773779,0.0,0.4100433279116493,0.0,1.5034922023427142,0.6834055465194155,4.827565398425007,0.49975012493753124
17.0,2015,208,1,13,14,2,0,102,136,47809,22292,25517,49.78142190800896,43.50645275994059,0.20916563826894516,2.719153297496287,2.9283189357652324,0.4183312765378903,61.008433518751126,39.973351099267155
17.0,2016,217,3,8,16,0,0,104,140,47566,22136,25430,51.297145019551785,45.62082159525711,0.630702602699407,1.6818736071984193,3.3637472143968385,0.0,63.24539212143115,40.89657884388517
17.0,2017,491,3,11,12,3,0,249,271,47320,21979,25341,109.8901098901099,103.76162299239222,0.6339814032121724,2.3245984784446323,2.53592561284869,0.6339814032121724,123.29951317166386,98.25973718479933
17.0,2018,825,4,38,28,11,0,392,514,47245,21911,25334,191.7663244787808,174.62165308498254,0.8466504391999153,8.043179172399196,5.926553074399408,2.3282887077997674,234.58536807995984,154.73277019025815
17.0,2019,224,4,27,26,12,0,120,173,49227,22838,26389,59.52018201393544,45.50348386048307,0.8125622117943404,5.484794929611798,5.281654376663213,2.4376866353830215,75.75094141343375,45.473492743188444
17.0,2020,34,3,21,23,13,0,41,53,48738,22678,26060,19.28679880175633,6.976076162337395,0.6155361319709468,4.308752923796627,4.719110345110591,2.667323238540769,23.370667607372784,15.732924021488872
