codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
63.0,2018,2,11,2,1,0,0,0,1,2,1,1,5,4,7,7,36,18,18,3888.888888888889,3055.5555555555557,555.5555555555555,277.77777777777777,0.0,0.0,3888.888888888889,3888.888888888889
63.0,2019,1,4,0,0,1,0,0,2,1,1,0,1,0,2,3,36,18,18,1388.888888888889,1111.111111111111,0.0,0.0,277.77777777777777,0.0,1666.6666666666665,1111.111111111111
64.0,2015,1,6,3,1,0,1,2,2,2,1,1,3,0,5,6,4777,2414,2363,23.027004396064477,12.560184216035168,6.280092108017584,2.0933640360058616,0.0,2.0933640360058616,24.855012427506214,21.159542953872197
64.0,2015,2,3,6,2,1,0,2,3,0,2,4,0,1,4,8,4777,2414,2363,25.120368432070336,6.280092108017584,12.560184216035168,4.186728072011723,2.0933640360058616,0.0,33.140016570008285,16.92763436309776
64.0,2016,1,8,2,0,1,0,3,0,2,1,0,4,1,4,7,4952,2508,2444,22.213247172859454,16.155088852988694,4.0387722132471735,0.0,2.0193861066235868,0.0,27.91068580542265,16.366612111292962
64.0,2016,2,5,3,2,0,0,4,1,2,0,0,2,1,4,6,4952,2508,2444,20.193861066235865,10.096930533117932,6.058158319870759,4.0387722132471735,0.0,0.0,23.923444976076553,16.366612111292962
64.0,2017,1,4,0,3,0,2,2,1,0,0,1,3,2,5,4,5124,2596,2528,17.56440281030445,7.8064012490242,0.0,5.85480093676815,0.0,3.9032006245121,15.408320493066256,19.77848101265823
64.0,2017,2,11,4,0,0,1,3,1,0,4,1,3,4,6,10,5124,2596,2528,31.2256049960968,21.467603434816553,7.8064012490242,0.0,0.0,1.95160031225605,38.52080123266564,23.734177215189874
64.0,2018,1,3,7,6,0,0,2,0,2,0,3,3,6,7,9,5331,2681,2650,30.013130744700806,5.627462014631401,13.130744700806604,11.254924029262803,0.0,0.0,33.56956359567325,26.415094339622645
64.0,2018,2,3,3,9,0,2,1,4,3,1,5,2,1,9,8,5331,2681,2650,31.888951416244605,5.627462014631401,5.627462014631401,16.882386043894204,0.0,3.7516413430876008,29.839612085042894,33.9622641509434
64.0,2019,1,4,2,1,0,0,2,1,0,0,2,1,1,4,3,5725,2899,2826,12.22707423580786,6.986899563318777,3.4934497816593884,1.7467248908296942,0.0,0.0,10.348395998620214,14.154281670205238
65.0,2015,1,54,5,8,22,15,8,14,21,24,10,14,13,37,67,72468,34778,37690,14.351161892145498,7.451564828614009,0.689959706353149,1.1039355301650384,3.0358227079538556,2.069879119059447,19.26505261947208,9.816927566993897
65.0,2015,2,43,8,4,14,13,9,7,15,10,16,12,13,23,59,72468,34778,37690,11.315339184191643,5.933653474637081,1.1039355301650384,0.5519677650825192,1.9318871777888171,1.7938952365181873,16.964747829087354,6.102414433536747
65.0,2016,1,75,9,6,16,12,9,18,17,12,22,19,21,40,78,73832,35427,38405,15.982229927402752,10.158196987755986,1.2189836385307184,0.8126557590204789,2.1670820240546105,1.6253115180409579,22.01710559742569,10.415310506444472
65.0,2016,2,88,2,10,18,14,17,20,14,22,28,18,13,47,85,73832,35427,38405,17.878426698450536,11.918951132300357,0.2708852530068263,1.3544262650341317,2.437967277061437,1.896196771047784,23.99299968950236,12.237989845072256
65.0,2017,1,147,5,12,19,22,20,33,22,28,37,35,30,71,134,75273,36121,39152,27.234200842267477,19.52891475030888,0.6642488010309141,1.5941971224741938,2.5241454439174733,2.922694724536022,37.09753329088342,18.13445034736412
65.0,2017,2,204,1,6,14,20,20,34,34,38,48,35,36,85,160,75273,36121,39152,32.54819125051479,27.101351082061296,0.13284976020618283,0.7970985612370969,1.8598966428865598,2.6569952041236564,44.29556213836826,21.710257458111975
65.0,2018,1,268,3,16,25,21,27,60,52,50,47,47,50,133,200,77129,36651,40478,43.174422072112954,34.74698232830712,0.388958757406423,2.0744467061675893,3.241322978386858,2.722711301844961,54.56877029276146,32.85735461238204
65.0,2018,2,306,6,19,25,22,44,63,53,49,63,46,60,150,228,77129,36651,40478,49.008803433209295,39.67379325545515,0.777917514812846,2.4634054635740124,3.241322978386858,2.8523642209804354,62.208398133748055,37.05716685606996
65.0,2019,1,108,2,4,5,7,13,17,17,27,20,18,14,42,84,79580,38071,41509,15.833123900477508,13.57124905755215,0.25131942699170645,0.5026388539834129,0.628298567479266,0.8796179944709726,22.064038244332956,10.118287600279457
66.0,2015,1,74,15,17,8,31,12,21,15,24,24,30,19,60,85,69284,34028,35256,20.928352866462674,10.680676635298193,2.1650020206685525,2.453668956757693,1.1546677443565614,4.474337509381676,24.97942870577172,17.018379850238258
66.0,2015,2,56,21,18,10,31,14,28,18,15,19,15,27,39,97,69284,34028,35256,19.629351654061544,8.082674210495929,3.0310028289359736,2.598002424802263,1.443334680445702,4.474337509381676,28.50593628776302,11.061946902654867
66.0,2016,1,94,15,15,7,21,14,23,16,26,27,22,24,57,95,68718,33745,34973,22.119386478069792,13.679094269332635,2.182834191914782,2.182834191914782,1.0186559562268982,3.055967868680695,28.15231886205364,16.298287250164414
66.0,2016,2,78,15,14,10,34,18,26,28,22,21,20,16,44,107,68718,33745,34973,21.97386419860881,11.350737797956867,2.182834191914782,2.0373119124537964,1.4552227946098548,4.947757501673506,31.708401244628835,12.581134017670774
66.0,2017,1,141,10,16,14,20,17,38,25,29,32,34,26,80,121,68241,33514,34727,29.454433551677145,20.662065327295906,1.4653947040635396,2.3446315265016633,2.0515525856889556,2.930789408127079,36.10431461478785,23.03683013217381
66.0,2017,2,221,10,11,7,35,25,35,41,46,50,49,38,134,150,68241,33514,34727,41.617209595404525,32.385222959804224,1.4653947040635396,1.6119341744698934,1.0257762928444778,5.128881464222387,44.75741481172047,38.58669047139114
66.0,2018,1,224,17,25,12,38,30,45,41,44,52,43,61,133,183,68147,33151,34996,46.370346456924004,32.870119007439804,2.494607246100342,3.6685400677946203,1.7608992325414177,5.576180903047823,55.20195469216615,38.00434335352612
66.0,2018,2,308,13,33,14,30,38,59,60,52,61,58,70,181,217,68147,33151,34996,58.40315787929036,45.196413635229725,1.9076408352532026,4.842472889488899,2.0543824379649878,4.4022480813535445,65.45805556393472,51.720196593896446
66.0,2019,1,98,0,10,3,4,15,17,15,19,20,11,18,50,65,69426,34000,35426,16.564399504508398,14.115749142972374,0.0,1.4403825656094258,0.4321147696828278,0.5761530262437704,19.11764705882353,14.113927623779146
67.0,2015,1,141,53,42,3,44,43,45,41,40,37,41,36,91,192,153476,76374,77102,18.43936511246058,9.187104172639371,3.453308660637494,2.7365842216372593,0.1954703015455185,2.866897756000938,25.13944536098672,11.80254727503826
67.0,2015,2,86,44,34,2,27,26,25,33,21,25,36,27,67,126,153476,76374,77102,12.575256066095024,5.603481977638197,2.866897756000938,2.215330084182543,0.130313534363679,1.7592327139096666,16.497761018147536,8.68978755414905
67.0,2016,1,130,41,36,1,34,37,28,28,33,37,36,43,74,168,153184,76233,76951,15.797994568623356,8.486526007938165,2.676519740965114,2.350114894505954,0.06528096929183204,2.2195529559222895,22.037700208571092,9.616509207157803
