codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
3.0,2021,1,0,0,1,2,1,0,2,2,2417,1178,1239,16.54944145635085,0.0,0.0,4.137360364087712,8.274720728175424,4.137360364087712,16.97792869269949,16.142050040355123
3.0,2021,2,0,0,0,1,0,0,0,1,2417,1178,1239,4.137360364087712,0.0,0.0,0.0,4.137360364087712,0.0,8.488964346349745,0.0
3.0,2021,3,1,0,0,0,0,0,0,1,2417,1178,1239,4.137360364087712,4.137360364087712,0.0,0.0,0.0,0.0,8.488964346349745,0.0
3.0,2022,1,1,0,0,0,0,0,1,0,2446,1200,1246,4.088307440719542,4.088307440719542,0.0,0.0,0.0,0.0,0.0,8.025682182985554
3.0,2022,2,0,0,0,1,1,0,0,2,2446,1200,1246,8.176614881439084,0.0,0.0,0.0,4.088307440719542,4.088307440719542,16.666666666666668,0.0
3.0,2022,4,1,0,0,1,0,0,1,1,2446,1200,1246,8.176614881439084,4.088307440719542,0.0,0.0,4.088307440719542,0.0,8.333333333333334,8.025682182985554
9.0,2015,1,67,4,9,4,2,0,32,54,114369,54372,59997,7.519520149690912,5.8582308142940835,0.3497451232414378,0.7869265272932351,0.3497451232414378,0.1748725616207189,9.931582432134187,5.333600013334
9.0,2015,2,56,4,4,7,3,0,19,55,114369,54372,59997,6.470284779966599,4.89643172538013,0.3497451232414378,0.3497451232414378,0.6120539656725162,0.2623088424310783,10.115500625321857,3.166825007917063
9.0,2015,3,31,0,4,6,1,0,18,24,114369,54372,59997,3.672323794035097,2.7105247051211427,0.0,0.3497451232414378,0.5246176848621567,0.08743628081035945,4.4140366365040835,3.000150007500375
9.0,2015,4,52,2,18,3,0,0,35,40,114369,54372,59997,6.5577210607769585,4.546686602138691,0.1748725616207189,1.5738530545864702,0.2623088424310783,0.0,7.356727727506805,5.833625014584063
9.0,2016,1,52,3,34,4,3,0,55,41,115721,54943,60778,8.295814934195176,4.493566422689054,0.25924421669359926,2.938101122527458,0.3456589555914657,0.25924421669359926,7.462279089237938,9.049327059133239
9.0,2016,2,47,3,33,7,5,0,52,43,115721,54943,60778,8.20940019529731,4.061492728199722,0.25924421669359926,2.851686383629592,0.604903172285065,0.43207369448933214,7.8262927033471055,8.555727401362335
9.0,2016,3,51,5,38,6,2,0,52,50,115721,54943,60778,8.814303367582376,4.407151683791188,0.43207369448933214,3.283760078118924,0.5184884333871985,0.17282947779573285,9.100340352729193,8.555727401362335
9.0,2016,4,68,2,85,2,1,0,108,50,115721,54943,60778,13.653528745862895,5.876202245054916,0.17282947779573285,7.345252806318646,0.17282947779573285,0.08641473889786642,9.100340352729193,17.769587679752544
9.0,2017,1,98,2,21,2,5,0,58,70,117135,55560,61575,10.927562214538781,8.366414820506254,0.17074315960216846,1.7928031758227685,0.17074315960216846,0.42685789900542115,12.598992080633549,9.419407226958993
9.0,2017,2,102,1,31,3,7,0,78,66,117135,55560,61575,12.293507491356129,8.70790113971059,0.08537157980108423,2.6465189738336106,0.25611473940325263,0.5976010586075895,11.879049676025918,12.66747868453106
9.0,2017,3,139,2,56,5,3,0,113,92,117135,55560,61575,17.501173859222266,11.866649592350708,0.17074315960216846,4.780808468860716,0.42685789900542115,0.25611473940325263,16.55867530597552,18.351603735282175
9.0,2017,4,158,2,28,7,3,0,88,109,117135,55560,61575,16.903572800614675,13.488709608571307,0.17074315960216846,2.390404234430358,0.5976010586075895,0.25611473940325263,19.618430525557958,14.291514413317092
9.0,2018,1,174,6,26,24,8,1,92,144,119080,56578,62502,19.986563654685927,14.612025529056098,0.5038629492777964,2.183406113537118,2.0154517971111856,0.6718172657037286,25.45158895683835,14.719528975072798
9.0,2018,2,127,2,41,32,14,0,97,119,119080,56578,62502,18.13906617400067,10.665099093046692,0.16795431642593214,3.443063486731609,2.6872690628149143,1.175680214981525,21.032910318498356,15.519503375891972
9.0,2018,3,170,8,73,20,16,0,157,130,119080,56578,62502,24.101444407121264,14.276116896204233,0.6718172657037286,6.130332549546524,1.6795431642593215,1.3436345314074571,22.977128919367953,25.119196185722057
9.0,2018,4,152,4,26,22,12,2,96,116,119080,56578,62502,18.13906617400067,12.764528048370844,0.3359086328518643,2.183406113537118,1.8474974806852538,1.0077258985555928,20.50266888189756,15.359508495728138
9.0,2019,1,103,4,19,10,11,0,66,81,122844,58302,64542,11.966396405196836,8.384617889355605,0.325616228712839,1.5466770863859856,0.8140405717820977,0.8954446289603073,13.89317690645261,10.225899414334851
9.0,2019,2,7,2,15,5,9,0,18,20,122844,58302,64542,3.093354172771971,0.5698284002474684,0.1628081143564195,1.2210608576731463,0.4070202858910488,0.7326365146038879,3.4304140509759526,2.7888816584549594
9.0,2019,3,12,1,37,5,7,0,35,27,122844,58302,64542,5.047051545049006,0.9768486861385172,0.08140405717820975,3.011950115593761,0.4070202858910488,0.5698284002474684,4.631058968817536,5.422825446995755
9.0,2019,4,11,1,27,7,11,0,27,30,122844,58302,64542,4.640031259157956,0.8954446289603073,0.08140405717820975,2.197909543811664,0.5698284002474684,0.8954446289603073,5.145621076463929,4.18332248768244
9.0,2020,1,8,3,19,3,8,0,20,21,125093,59368,65725,3.2775614942482796,0.6395241939996643,0.2398215727498741,1.5188699607492024,0.2398215727498741,0.6395241939996643,3.537259129497372,3.0429821224800304
9.0,2020,2,3,4,11,7,6,0,14,17,125093,59368,65725,2.478156251748699,0.2398215727498741,0.31976209699983216,0.8793457667495383,0.5595836697497062,0.4796431454997482,2.863495485783587,2.1300874857360212
9.0,2020,3,6,7,19,4,4,0,22,18,125093,59368,65725,3.1976209699983213,0.4796431454997482,0.5595836697497062,1.5188699607492024,0.31976209699983216,0.31976209699983216,3.031936396712033,3.3472803347280338
9.0,2020,4,7,2,9,9,6,0,16,17,125093,59368,65725,2.6380373002486146,0.5595836697497062,0.15988104849991608,0.7194647182496223,0.7194647182496223,0.4796431454997482,2.863495485783587,2.434385697984024
9.0,2021,1,4,4,15,6,9,0,18,20,127453,60391,67062,2.9814912163699563,0.3138411806705217,0.3138411806705217,1.1769044275144562,0.4707617710057825,0.7061426565086738,3.311751751088738,2.6840833855238433
9.0,2021,2,8,5,20,6,12,0,19,32,127453,60391,67062,4.001475053549151,0.6276823613410434,0.3923014758381521,1.5692059033526085,0.4707617710057825,0.941523542011565,5.2988028017419815,2.833199129164057
9.0,2021,3,15,3,21,13,15,0,27,40,127453,60391,67062,5.256839776231239,1.1769044275144562,0.23538088550289124,1.6476661985202388,1.0199838371791954,1.1769044275144562,6.623503502177476,4.026125078285766
9.0,2021,4,14,3,25,8,6,0,30,26,127453,60391,67062,4.393776529387304,1.098444132346826,0.23538088550289124,1.9615073791907605,0.6276823613410434,0.4707617710057825,4.30527727641536,4.4734723092064055
9.0,2022,1,4,6,0,8,16,0,5,29,128953,61115,67838,2.636619543554629,0.31019053453583867,0.46528580180375795,0.0,0.6203810690716773,1.2407621381433547,4.745152581199378,0.7370500309561012
9.0,2022,2,10,2,0,2,3,0,6,11,128953,61115,67838,1.3183097717773145,0.7754763363395966,0.15509526726791933,0.0,0.15509526726791933,0.23264290090187897,1.799885461834247,0.8844600371473216
9.0,2022,3,5,2,0,8,4,0,3,16,128953,61115,67838,1.4734050390452333,0.3877381681697983,0.15509526726791933,0.0,0.6203810690716773,0.31019053453583867,2.6180152172134497,0.4422300185736608
