ZAT,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
7.0,2016,3,9,0,0,0,0,1,3,0,1,2,1,1,3,6
7.0,2016,4,5,0,1,0,0,0,1,0,0,0,3,2,3,3
7.0,2017,1,7,0,0,0,0,2,0,1,1,0,1,2,3,4
7.0,2017,2,3,0,1,0,0,0,0,2,1,0,0,1,2,2
7.0,2017,3,9,0,1,0,0,1,2,2,1,1,2,1,5,5
7.0,2017,4,17,0,0,0,0,0,5,0,2,3,3,4,9,8
7.0,2018,1,32,0,0,0,1,6,7,3,4,9,2,2,10,23
7.0,2018,2,23,0,0,1,0,2,1,2,5,1,7,6,10,14
7.0,2018,3,18,0,0,0,0,0,2,4,3,2,2,5,8,10
7.0,2018,4,19,0,0,1,1,2,4,2,3,3,4,3,11,10
7.0,2019,1,10,0,0,0,0,0,1,2,2,1,3,1,2,8
8.0,2015,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1
8.0,2015,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2
8.0,2016,1,3,0,0,0,0,0,0,0,2,0,0,1,1,2
8.0,2016,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,2016,3,2,0,0,0,0,1,0,0,0,1,0,0,0,2
8.0,2017,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,2018,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,2018,3,3,0,0,1,0,0,1,0,0,1,1,1,0,4
8.0,2018,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1
9.0,2015,1,24,1,0,3,1,4,4,4,4,4,8,1,12,17
9.0,2015,2,24,0,0,1,0,4,4,1,3,6,2,5,8,17
9.0,2015,3,13,0,0,1,0,2,2,2,0,2,4,2,7,7
9.0,2015,4,15,0,3,2,0,3,2,1,3,4,4,3,15,5
9.0,2016,1,22,0,0,3,0,3,5,6,5,1,3,2,11,14
9.0,2016,2,19,0,0,2,0,3,3,1,0,3,6,5,9,12
9.0,2016,3,17,0,0,1,0,2,3,1,3,2,2,5,7,11
9.0,2016,4,26,0,1,2,0,4,1,0,3,6,8,7,15,14
9.0,2017,1,29,0,1,0,0,5,2,6,3,1,6,7,14,16
9.0,2017,2,48,1,0,4,1,5,9,9,8,8,8,7,24,30
9.0,2017,3,39,0,3,2,1,6,8,4,3,6,11,7,26,19
9.0,2017,4,62,0,0,2,0,6,8,5,4,12,18,11,37,27
9.0,2018,1,76,0,5,1,0,9,10,10,13,8,15,17,46,36
9.0,2018,2,64,1,0,1,1,8,6,5,11,5,19,13,38,29
9.0,2018,3,55,0,0,0,0,5,6,11,8,6,9,10,25,30
9.0,2018,4,75,0,1,1,0,10,13,7,5,16,20,6,40,37
9.0,2019,1,64,0,1,1,0,10,14,5,6,16,9,6,34,32
10.0,2015,1,7,0,0,0,0,1,2,0,0,2,1,1,4,3
10.0,2015,2,4,0,0,1,0,0,1,1,2,0,0,1,2,3
10.0,2015,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0
10.0,2015,4,4,0,0,0,0,1,1,0,0,1,1,0,1,3
10.0,2016,1,3,0,0,0,0,0,0,0,0,0,1,2,1,2
10.0,2016,2,4,0,0,0,0,1,0,0,1,0,1,1,2,2
10.0,2016,3,2,0,0,0,0,0,1,0,1,0,0,0,1,1
10.0,2016,4,3,0,0,1,0,0,0,0,1,0,0,3,1,3
10.0,2017,1,7,0,0,0,0,1,0,0,0,1,2,3,4,3
10.0,2017,2,9,0,0,0,0,1,2,1,1,0,3,1,6,3
10.0,2017,3,15,0,0,0,0,2,3,2,2,1,4,1,4,11
10.0,2017,4,27,0,0,0,0,4,2,2,6,4,4,5,15,12
10.0,2018,1,36,0,0,1,0,3,3,4,7,12,3,5,10,27
10.0,2018,2,21,0,0,1,0,2,1,1,3,4,2,9,11,11
10.0,2018,3,16,0,0,0,0,2,4,1,4,1,1,3,8,8
10.0,2018,4,20,0,0,2,0,1,8,2,2,3,4,2,12,10
10.0,2019,1,16,0,0,0,1,4,4,2,2,2,0,3,7,10
11.0,2015,1,18,2,3,3,2,3,6,3,5,3,4,4,9,19
11.0,2015,2,19,0,0,0,0,1,3,1,3,3,6,2,4,15
11.0,2015,3,13,0,0,2,1,3,1,1,1,2,4,4,6,10
11.0,2015,4,21,0,4,1,0,3,2,3,0,5,7,6,11,15
11.0,2016,1,17,0,7,3,0,2,6,10,2,3,3,1,11,16
11.0,2016,2,17,1,4,4,2,6,6,1,4,3,4,4,10,18
11.0,2016,3,18,2,4,2,1,3,5,8,4,4,1,2,11,16
11.0,2016,4,29,0,2,0,1,3,4,3,5,8,6,3,16,16
11.0,2017,1,31,1,2,0,1,2,10,3,2,5,6,7,13,22
11.0,2017,2,29,0,5,2,3,1,5,6,2,8,4,13,19,20
11.0,2017,3,57,0,2,1,0,7,10,10,8,8,9,8,18,42
11.0,2017,4,49,0,1,0,1,3,8,7,7,8,7,11,23,28
11.0,2018,1,52,1,2,4,2,4,15,7,15,6,6,8,25,36
11.0,2018,2,32,0,3,4,4,3,7,7,7,5,6,8,16,27
11.0,2018,3,60,2,6,5,3,9,14,6,14,16,8,9,31,45
11.0,2018,4,49,0,2,0,1,2,11,8,3,12,5,11,24,28
11.0,2019,1,35,1,1,1,1,3,6,4,9,4,9,4,13,26
12.0,2015,1,11,0,1,0,0,4,1,2,2,2,1,0,6,6
12.0,2015,2,10,2,0,1,0,3,2,2,0,0,5,1,3,10
12.0,2015,3,2,0,1,0,0,0,0,1,0,1,1,0,1,2
12.0,2015,4,5,1,2,0,0,1,0,1,3,0,2,1,4,4
12.0,2016,1,10,1,3,0,1,2,0,1,2,2,2,6,6,9
12.0,2016,2,5,0,2,1,0,0,0,2,2,2,0,2,5,3
12.0,2016,3,5,0,3,0,0,0,1,0,0,2,2,3,3,5
12.0,2016,4,9,0,0,1,0,1,1,2,2,0,2,2,6,4
12.0,2017,1,15,1,2,1,2,2,2,3,4,5,1,4,9,12
