codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
8.0,2017,2,4914,64,231,360,283,626,888,690,882,885,944,937,2257,3593,1009665,486609,523056,57.95981835559319,48.66960823639524,0.6338736115444231,2.2878875666681524,3.56553906493738,2.8029098760479965,73.8375163632403,43.15025542198159
8.0,2018,1,5137,69,310,376,400,609,947,815,907,928,1055,1031,2424,3864,1019748,488032,531716,61.70151841435335,50.37519073339688,0.6766377575636334,3.039966736880092,3.687185461506176,3.9225377250065705,79.17513605665204,45.588246357077836
8.0,2018,2,5817,70,293,404,435,715,1098,929,1025,1062,1010,1180,2638,4377,1019748,488032,531716,68.83073072955278,57.04350486590805,0.6864441018761498,2.873258883567313,3.961763102256636,4.2657597759446455,89.68674185299324,49.61295127474065
8.0,2019,1,1863,12,53,114,125,205,346,271,324,381,309,331,767,1400,1027373,493558,533815,21.09263140066947,18.13362819540712,0.11680275810246132,0.5158788482858708,1.1096262019733825,1.2166953969006389,28.365460594296923,14.368273652857262
9.0,2015,1,735,7,72,58,59,104,139,120,142,139,126,161,327,604,356388,168448,187940,26.123214025163588,20.62359001986599,0.19641514304634275,2.0202700427623825,1.6274397566696972,1.6554990628191746,35.85676291793313,17.3991699478557
9.0,2015,2,839,11,54,55,47,105,169,145,140,178,122,147,340,665,356388,168448,187940,28.227661986374404,23.54175785941165,0.3086523676442529,1.5152025320717868,1.5432618382212646,1.3187873890254442,39.4780585106383,18.090880068106845
9.0,2016,1,1120,11,58,36,67,126,213,169,202,206,177,199,449,843,358804,169348,189456,36.00851718486973,31.214813658710607,0.3065740627194792,1.6164814216117993,1.003333296172841,1.8673147456550094,49.779152986749175,23.69943416941137
9.0,2016,2,1081,13,44,46,73,126,204,184,202,187,141,213,441,816,358804,169348,189456,35.03305425803503,30.12786925452336,0.3623148013957481,1.2262962508779167,1.2820369895541854,2.0345369616838163,48.184802891088175,23.27717253610337
9.0,2017,1,1658,10,98,78,77,154,333,236,269,325,267,337,764,1157,361474,170407,191067,53.14351792936698,45.86775259078108,0.27664506990820914,2.71112168510045,2.1578315452840315,2.1301670382932105,67.89627186676603,39.98597350667566
9.0,2017,2,2820,10,118,74,61,281,456,402,506,529,405,504,1433,1648,361474,170407,191067,85.28967505270089,78.01390971411499,0.27664506990820914,3.264411824916868,2.047173517320748,1.6875349264400759,96.70964220953364,74.99986915584586
9.0,2018,1,2860,6,101,69,94,223,486,417,507,542,415,540,1390,1739,365884,173463,192421,85.54623869860393,78.16685069584895,0.1639864000612216,2.7604377343638964,1.8858436007040482,2.5691202676258045,100.25192692389732,72.23743770170616
9.0,2018,2,3294,13,104,70,84,310,562,455,547,579,480,632,1587,1974,365884,173463,192421,97.4352527030425,90.02853363361065,0.3553038667993135,2.842430934394508,1.9131746673809185,2.295809600857102,113.79948461631588,82.47540549108464
9.0,2019,1,1169,2,21,19,17,101,211,145,210,227,132,202,506,722,377118,178158,198960,32.56275224200383,30.998255188031333,0.05303379843974566,0.5568548836173293,0.5038210851775836,0.4507872867378381,40.52582539094512,25.432247687977483
10.0,2015,1,759,32,186,139,188,131,171,190,214,232,185,181,463,839,783433,371303,412130,16.644690739348484,9.68812904230483,0.4084586684502695,2.3741660103671913,1.774242341080858,2.3996946771453334,22.59610075867957,11.234319268192076
10.0,2015,2,991,36,153,149,191,167,268,208,222,237,207,211,526,994,783433,371303,412130,19.401786751387803,12.649454388569284,0.4595160020065532,1.9529430085278512,1.9018856749715674,2.437987677312546,26.77058897988974,12.762963142697691
10.0,2016,1,1763,28,116,175,154,203,376,327,340,354,309,327,813,1423,784129,371321,412808,28.51571616404954,22.48354543703906,0.35708410223317844,1.4793484235374537,2.2317756389573655,1.9639625622824817,38.322637286875775,19.69438576771768
