codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,crime_count,population,crime_rate_per_100k_inhabitants
15114,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,0.0
15131,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3617.0,27.647221454243848
15135,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3753.0,26.64535038635758
15162,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4154.0,24.073182474723158
15172,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.0,0.0
15176,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,47662.0,121.69023540766229
15180,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5047.0,118.8825044580939
15183,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10795.0,18.527095877721166
15185,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5918.0,101.38560324433931
15187,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,0.0
15189,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4870.0,0.0
15204,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11489.0,8.703977717817043
15212,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4172.0,95.87727708533077
15215,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2491.0,200.7226013649137
15218,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3649.0,27.40476842970677
15223,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7810.0,0.0
15224,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3515.0,28.449502133712663
15226,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1930.0,103.62694300518135
15232,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4694.0,0.0
15236,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.0,0.0
15238,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,101546.0,169.3813641108463
15244,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5282.0,189.32222642938282
15248,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3458.0,86.75534991324464
15272,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6290.0,47.69475357710652
15276,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3728.0,0.0
15293,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3041.0,32.88391976323578
15296,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5153.0,19.406171162429654
15299,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16077.0,37.32039559619332
15317,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2208.0,45.289855072463766
15322,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10260.0,29.239766081871345
15325,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4713.0,0.0
15332,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4879.0,61.48800983808157
15362,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1794.0,55.74136008918617
15367,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6876.0,14.543339150668993
15368,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4429.0,45.15692029803567
15377,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4107.0,24.348672997321646
15380,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,0.0
15401,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.0,0.0
15403,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5847.0,0.0
15407,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12066.0,66.30200563567048
15425,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4893.0,20.437359493153487
15442,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6621.0,0.0
15455,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8871.0,33.818058843422385
15464,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5028.0,0.0
