LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.15806766699995,4.653599129847234,08,KENNEDY,78,TINTAL NORTE,2019-07-16,00:00:00,MASCULINO,2019,1
-74.11312531699997,4.575440683849803,18,RAFAEL URIBE URIBE,36,SAN JOSE,2021-05-06,00:00:00,MASCULINO,2021,1
-74.16160864799997,4.61526446384851,08,KENNEDY,48,TIMIZA,2019-03-21,00:00:00,MASCULINO,2019,1
-74.13296558099995,4.70658384584553,10,ENGATIVÁ,74,ENGATIVA,2018-01-12,00:00:00,MASCULINO,2018,1
-74.08912166799996,4.551318728850592,04,SAN CRISTÓBAL,32,SAN BLAS,2020-05-21,00:00:00,MASCULINO,2020,1
-74.13723207799995,4.714961338845276,10,ENGATIVÁ,74,ENGATIVA,2019-02-04,00:00:00,MASCULINO,2019,1
-74.17301914399997,4.615619966848479,08,KENNEDY,47,KENNEDY CENTRAL,2020-10-06,00:00:00,MASCULINO,2020,1
-74.15859367699994,4.5874004428493915,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2019-05-02,00:00:00,MASCULINO,2019,1
-74.08452784499997,4.555335272850426,04,SAN CRISTÓBAL,32,SAN BLAS,2021-07-09,00:00:00,FEMENINO,2021,1
-74.15227563599996,4.623179371848229,08,KENNEDY,47,KENNEDY CENTRAL,2019-09-13,00:00:00,MASCULINO,2019,1
-74.14455730199995,4.677127409846461,09,FONTIBÓN,75,FONTIBON,2020-12-18,00:00:00,MASCULINO,2020,1
-74.11797544599995,4.750858860844078,11,SUBA,71,TIBABUYES,2020-10-01,00:00:00,MASCULINO,2020,1
-74.16503408199998,4.638274207847736,08,KENNEDY,82,PATIO BONITO,2020-11-26,00:00:00,MASCULINO,2020,1
-74.11313614499994,4.748539690844187,11,SUBA,71,TIBABUYES,2020-12-02,00:00:00,MASCULINO,2020,1
-74.10599388199995,4.579840496849619,18,RAFAEL URIBE URIBE,39,QUIROGA,2019-05-06,00:00:00,MASCULINO,2019,1
-74.18041627999997,4.588979953849334,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-03-09,00:00:00,MASCULINO,2020,1
-74.11551258199995,4.643397065847563,09,FONTIBÓN,112,GRANJAS DE TECHO,2018-07-23,00:00:00,MASCULINO,2018,1
-74.15244193799998,4.54608925785075,19,CIUDAD BOLÍVAR,67,LUCERO,2021-08-06,00:00:00,MASCULINO,2021,1
-74.11604902399995,4.740685802844445,11,SUBA,71,TIBABUYES,2020-12-15,00:00:00,MASCULINO,2020,1
-74.15193620699995,4.653992213847215,08,KENNEDY,78,TINTAL NORTE,2018-03-21,00:00:00,MASCULINO,2018,1
-74.10043145799995,4.647926241847424,13,TEUSAQUILLO,109,CIUDAD SALITRE ORIENTAL,2019-11-20,00:00:00,MASCULINO,2019,1
-74.08199180099996,4.6061208598487795,14,LOS MÁRTIRES,102,LA SABANA,2021-02-26,00:00:00,MASCULINO,2021,1
-74.10640383399993,4.683387227846299,10,ENGATIVÁ,31,SANTA CECILIA,2021-08-01,00:00:00,MASCULINO,2021,1
-74.13298491099994,4.680098605846396,09,FONTIBÓN,75,FONTIBON,2021-08-21,00:00:00,FEMENINO,2021,1
-74.14349338699998,4.60934775284871,08,KENNEDY,45,CARVAJAL,2018-08-16,00:00:00,MASCULINO,2018,1
-74.12483938299994,4.7001049948457485,10,ENGATIVÁ,74,ENGATIVA,2019-07-15,00:00:00,MASCULINO,2019,1
-74.19867631699998,4.615222489848512,07,BOSA,85,BOSA CENTRAL,2021-03-12,00:00:00,MASCULINO,2021,1
-74.14758319199996,4.507772750852009,19,CIUDAD BOLÍVAR,64,MONTE BLANCO,2021-04-19,00:00:00,MASCULINO,2021,1
-74.13538238699994,4.650128799847376,08,KENNEDY,46,CASTILLA,2021-02-03,00:00:00,MASCULINO,2021,1
-74.15765546799997,4.614154001848507,08,KENNEDY,48,TIMIZA,2019-09-09,00:00:00,MASCULINO,2019,1
-74.08804302899995,4.714081283845265,11,SUBA,24,NIZA,2021-05-21,00:00:00,MASCULINO,2021,1
-74.18190790899996,4.601096030848966,07,BOSA,85,BOSA CENTRAL,2018-03-28,00:00:00,MASCULINO,2018,1
-74.13709999999998,4.717809999845155,10,ENGATIVÁ,74,ENGATIVA,2022-09-18,00:00:00,FEMENINO,2022,1
-74.16689999999994,4.591579999849241,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2022-05-06,00:00:00,MASCULINO,2022,1
-74.03149999999994,4.73446999984461,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2022-08-08,00:00:00,MASCULINO,2022,1
-74.16879999999998,4.583379999849521,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2022-02-24,00:00:00,MASCULINO,2022,1
-74.12299999999993,4.559099999850334,18,RAFAEL URIBE URIBE,54,MARRUECOS,2022-10-06,00:00:00,MASCULINO,2022,1
-74.11789999999996,4.497179999852367,05,USME,58,COMUNEROS,2022-05-15,00:00:00,MASCULINO,2022,1
-74.10069999999996,4.686899999846151,10,ENGATIVÁ,30,BOYACA REAL,2022-06-08,00:00:00,MASCULINO,2022,1
-74.12849999999997,4.642719999847616,08,KENNEDY,113,BAVARIA,2022-06-09,00:00:00,MASCULINO,2022,1
-74.13809999999995,4.553089999850532,19,CIUDAD BOLÍVAR,67,LUCERO,2022-07-25,00:00:00,MASCULINO,2022,1
-74.18089999999995,4.614709999848528,08,KENNEDY,81,GRAN BRITALIA,2022-03-25,00:00:00,MASCULINO,2022,1
-74.10859999999997,4.630929999847978,16,PUENTE ARANDA,111,PUENTE ARANDA,2022-04-20,00:00:00,MASCULINO,2022,1
-74.09819999999996,4.58586999984946,15,ANTONIO NARIÑO,38,RESTREPO,2022-07-18,00:00:00,FEMENINO,2022,1
-74.02369999999996,4.703529999845634,01,USAQUÉN,14,USAQUEN,2022-03-10,00:00:00,MASCULINO,2022,1
-74.13399999999996,4.718369999845143,10,ENGATIVÁ,74,ENGATIVA,2022-06-19,00:00:00,MASCULINO,2022,1
-74.10169999999994,4.74017999984445,11,SUBA,28,EL RINCON,2022-02-25,00:00:00,MASCULINO,2022,1
-74.07399999999996,4.646969999847487,13,TEUSAQUILLO,100,GALERIAS,2022-05-26,00:00:00,MASCULINO,2022,1
-74.11879999999996,4.706179999845567,10,ENGATIVÁ,73,GARCES NAVAS,2022-03-26,00:00:00,MASCULINO,2022,1
-74.06239999999997,4.729679999844752,11,SUBA,19,EL PRADO,2022-03-01,00:00:00,FEMENINO,2022,1
-74.10429999999997,4.582219999849583,18,RAFAEL URIBE URIBE,39,QUIROGA,2022-02-19,00:00:00,MASCULINO,2022,1
