AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-04-06,Viernes,FEMENINO,23:50:00,CL 70 C KR 113   NOROCCIDENTE,"-74,1068298057","4,6950667504"
2018,2018-04-07,Sábado,MASCULINO,00:25:00,TR 56 A CL 75 A  NORTE,"-74,0759604153","4,6742501589"
2018,2018-04-09,Lunes,MASCULINO,23:00:00,AK 30  CL 29 A 55 ,"-74,1207796671","4,5936892121"
2018,2018-04-09,Lunes,MASCULINO,08:30:00,CL 6 A KR 89  47 ,"-74,1595007747","4,6447914559"
2018,2018-04-11,Miércoles,FEMENINO,23:00:00,CL 5 A KR 71 A 63 ,"-74,1343838312","4,6237504564"
2018,2018-04-12,Jueves,MASCULINO,22:50:00,KR 53   150  27 ,"-74,0543565247","4,7327425181"
2018,2018-04-13,Viernes,MASCULINO,03:30:00,KR 160  CL 131   ,"-74,1273495926","4,7407450834"
2018,2018-04-18,Miércoles,MASCULINO,22:00:00,CL 58  KR 18  37 CENTRO,"-74,0691336241","4,6452923327"
2018,2018-04-20,Viernes,MASCULINO,10:45:00,KR 8  CL 115 SUR  SURESTE,"-74,0987066987","4,4847916419"
2018,2018-04-20,Viernes,MASCULINO,20:57:00,CL 69 B KR 71   NORESTE,"-74,0950069669","4,6810385389"
2018,2018-04-21,Sábado,MASCULINO,21:38:00,KR 80  CL 146  7 NOROCCIDENTE,"-74,0765489671","4,7376686633"
2018,2018-04-21,Sábado,MASCULINO,17:30:00,CL 85  KR 15   ,"-74,055178199","4,6701044027"
2018,2018-04-21,Sábado,MASCULINO,00:40:00,KR 86  CL 15   ESTE,"-74,1386531055","4,6564594803"
2018,2018-04-22,Domingo,MASCULINO,18:45:00,CL 143  KR 127 F 6 ,"-74,1160758307","4,7534830807"
2018,2018-04-22,Domingo,MASCULINO,21:30:00,KR 31 A CL 1   ,"-74,1069709937","4,5990493608"
2018,2018-04-23,Lunes,MASCULINO,23:00:00,CL 155 A KR 7 D 48 ,"-74,0278195926","4,731027539"
2018,2018-04-24,Martes,MASCULINO,22:12:00,KR 56  CL 167 c 54 ,"-74,0572823919","4,7510754192"
2018,2018-04-24,Martes,MASCULINO,22:30:00,CL 63 F KR 80 A 22 ,"-74,101081524","4,6872267062"
2018,2018-04-24,Martes,MASCULINO,01:40:00,KR 3 B CL 37 ABIS  SUR,"-74,0894514658","4,5695943859"
2018,2018-04-25,Miércoles,MASCULINO,21:30:00,TR 42 A CL 4 B 94 SUR,"-74,1697031595","4,6352570203"
2018,2018-04-26,Jueves,MASCULINO,22:00:00,KR 53  CL 123   NOROCCIDENTE,"-74,0616423227","4,7048163953"
2018,2018-04-26,Jueves,MASCULINO,00:30:00,CL 1 A KR 56  16 SUR,"-74,1230649091","4,6160989156"
2018,2018-04-26,Jueves,MASCULINO,22:00:00,CL 64 B KR 71  69 NORTE,"-74,100400243","4,6754563371"
2018,2018-04-26,Jueves,MASCULINO,20:00:00,CL 47 SUR KR 1 c  ESTE,"-74,0991838612","4,546209973"
2018,2018-04-29,Domingo,FEMENINO,06:30:00,CL 68 B KR 104 C  NOROCCIDENTE,"-74,12144175","4,7035496562"
2018,2018-04-29,Domingo,MASCULINO,22:30:00,KR 105  CL 80 A 75 OCCIDENTE,"-74,1153857195","4,7152065797"
2018,2018-04-30,Lunes,MASCULINO,23:30:00,KR 11  CL 22  79 SUR,"-74,0984471693","4,5765588251"
2018,2018-04-30,Lunes,MASCULINO,20:35:00,CL 134  KR 49   ,"-74,0554061867","4,7192593898"
2018,2018-05-02,Miércoles,MASCULINO,23:20:00,CL 40 SUR KR 24   SUR,"-74,1244205","4,5825757854"
2018,2018-05-02,Miércoles,MASCULINO,22:00:00,KR 65  CL 11  2 ,"-74,1168582775","4,6319847266"
2018,2018-05-03,Jueves,MASCULINO,21:30:00,CL 150  KR 16   ,"-74,0411417556","4,7313535755"
2018,2018-05-03,Jueves,MASCULINO,23:30:00,KR 25  CL 36   ,"-74,0764239766","4,6259774617"
2018,2018-05-04,Viernes,MASCULINO,21:45:00,KR 105 H CL 70  11 ,"-74,126312532","4,7011294512"
2018,2018-05-04,Viernes,MASCULINO,22:00:00,CL 2 A KR 32  58 ,"-74,1046489557","4,6043236946"
2018,2018-05-04,Viernes,MASCULINO,22:30:00,TR 5 A DG 48 J 81 SUR,"-74,1130767712","4,5601918448"
2018,2018-05-04,Viernes,MASCULINO,23:30:00,KR 72 H CL 39 29  ESTE,"-74,1440696975","4,6089463218"
2018,2018-05-05,Sábado,MASCULINO,20:15:00,KR 82 G CL 73 F  SUR,"-74,198493836","4,6139417617"
2018,2018-05-06,Domingo,MASCULINO,22:50:00,KR 27  CL 1 F  CENTRO,"-74,1002854889","4,5983704476"
2018,2018-05-06,Domingo,MASCULINO,22:29:00,CL 3  CI 30   CENTRO,"-74,100309917","4,6033630871"
2018,2018-05-07,Lunes,MASCULINO,20:15:00,CL 36 SUR KR 39 B 74 ,"-74,113668504","4,5994836389"
