"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.06912054199995","4.717298459845183","11","SUBA","24","NIZA","2020-03-01","00:00:00","1","3","2020","Domingo","PRADO VERANIEGO SUR","FEMENINO","1"
"-74.11163299999998","4.504159999852132","5","USME","58","COMUNEROS","2020-07-12","00:00:00","12","7","2020","Domingo","CHUNIZA","FEMENINO","1"
"-74.16897474199999","4.614807471848519","8","KENNEDY","47","KENNEDY CENTRAL","2019-06-12","00:00:00","12","6","2019","Miércoles","PASTRANA","FEMENINO","1"
"-74.10138536399995","4.490596662852586","5","USME","59","ALFONSO LOPEZ","2019-01-30","00:00:00","30","1","2019","Miércoles","EL NUEVO PORTAL II","FEMENINO","1"
"-74.11839899999995","4.479016999852938","5","USME","61","CIUDAD USME","2021-03-16","00:00:00","16","3","2021","Martes","LA REQUILINA","FEMENINO","1"
"-74.14844299999999","4.650152999847358","8","KENNEDY","79","CALANDAIMA","2020-04-09","00:00:00","9","4","2020","Jueves","TINTALA","FEMENINO","1"
"-74.13460999999995","4.714519999845266","10","ENGATIVÁ","74","ENGATIVA","2021-03-18","00:00:00","18","3","2021","Jueves","LA RIVIERA","MASCULINO","1"
"-74.09181100399996","4.5502342228506425","4","SAN CRISTÓBAL","50","LA GLORIA","2018-06-11","00:00:00","11","6","2018","Lunes","LA VICTORIA","FEMENINO","1"
"-74.07866999999999","4.67315999984662","12","BARRIOS UNIDOS","22","DOCE DE OCTUBRE","2020-05-29","00:00:00","29","5","2020","Viernes","SAN FERNANDO OCCIDENTAL","MASCULINO","1"
"-74.10423799999995","4.4999639998522305","5","USME","59","ALFONSO LOPEZ","2018-06-10","00:00:00","10","6","2018","Domingo","LA REFORMA","FEMENINO","1"
"-74.07125461299995","4.61327587484857","3","SANTA FE","91","SAGRADO CORAZON","2018-03-11","00:00:00","11","3","2018","Domingo","SAN DIEGO","FEMENINO","1"
"-74.17820683499997","4.636066499847796","8","KENNEDY","83","LAS MARGARITAS","2018-10-19","00:00:00","19","10","2018","Viernes","LAS MARGARITAS","FEMENINO","1"
"-74.19017899999994","4.614851999848504","7","BOSA","84","BOSA OCCIDENTAL","2018-12-13","00:00:00","13","12","2018","Jueves","LA PAZ BOSA","FEMENINO","1"
"-74.13677999999999","4.679698999846378","9","FONTIBÓN","75","FONTIBON","2019-08-15","00:00:00","15","8","2019","Jueves","LA CABANA FONTIBON","FEMENINO","1"
"-74.20603399999999","4.620090999848349","7","BOSA","87","TINTAL SUR","2019-08-01","00:00:00","1","8","2019","Jueves","SAN BERNARDINO XVIII","FEMENINO","1"
"-74.21831799999995","4.616299999848445","7","BOSA","87","TINTAL SUR","2020-03-19","00:00:00","19","3","2020","Jueves","","FEMENINO","1"
"-74.07715354199996","4.594999444849154","17","CANDELARIA","94","LA CANDELARIA","2020-08-28","00:00:00","28","8","2020","Viernes","CENTRO ADMINISTRATIVO","FEMENINO","1"
"-74.09432699999996","4.732879335844674","11","SUBA","28","EL RINCON","2019-02-20","00:00:00","20","2","2019","Miércoles","AURES","FEMENINO","1"
"-74.10623999999996","4.501459999852217","5","USME","58","COMUNEROS","2021-07-28","00:00:00","28","7","2021","Miércoles","CHARALA","FEMENINO","1"
"-74.13386499999996","4.580927999849597","6","TUNJUELITO","42","VENECIA","2019-08-13","00:00:00","13","8","2019","Martes","EL CARMEN","MASCULINO","1"
"-74.14364399999994","4.551688999850588","19","CIUDAD BOLÍVAR","67","LUCERO","2019-08-06","00:00:00","6","8","2019","Martes","LUCERO DEL SUR","FEMENINO","1"
"-74.08742957899995","4.616820641848445","14","LOS MÁRTIRES","102","LA SABANA","2018-02-19","00:00:00","19","2","2018","Lunes","PALOQUEMAO","MASCULINO","1"
"-74.08652999999998","4.732059999844694","11","SUBA","28","EL RINCON","2018-05-16","00:00:00","16","5","2018","Miércoles","ALTOS DE CHOZICA","FEMENINO","1"
