LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.11159722799994,4.549520038850662,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2021-08-28,00:00:00,MASCULINO,2021,1
-74.10244498399999,4.617788990848419,16,PUENTE ARANDA,108,ZONA INDUSTRIAL,2020-04-17,00:00:00,MASCULINO,2020,1
-74.10825569599996,4.48424898485273,05,USME,61,CIUDAD USME,2018-05-17,00:00:00,MASCULINO,2018,1
-74.08853471899994,4.685568865846205,10,ENGATIVÁ,26,LAS FERIAS,2018-08-30,00:00:00,MASCULINO,2018,1
-74.10674984299999,4.54458758585078,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2019-12-03,00:00:00,MASCULINO,2019,1
-74.14164676999997,4.679884962846407,09,FONTIBÓN,75,FONTIBON,2021-05-08,00:00:00,MASCULINO,2021,1
-74.14356558499998,4.563190889850184,19,CIUDAD BOLÍVAR,66,SAN FRANCISCO,2019-11-10,00:00:00,MASCULINO,2019,1
-74.02289946599996,4.768790849843523,01,USAQUÉN,9,VERBENAL,2020-07-14,00:00:00,MASCULINO,2020,1
-74.10126468799996,4.583291142849542,15,ANTONIO NARIÑO,38,RESTREPO,2021-12-20,00:00:00,MASCULINO,2021,1
-74.10436382999995,4.5427272568508315,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2020-02-29,00:00:00,MASCULINO,2020,1
-74.07179856899995,4.604254291848868,03,SANTA FE,93,LAS NIEVES,2021-06-21,00:00:00,MASCULINO,2021,1
-74.16447857099996,4.6296662458480355,08,KENNEDY,80,CORABASTOS,2021-11-17,00:00:00,MASCULINO,2021,1
-74.07535499699998,4.524644263851479,05,USME,994,SIN UPZ USME,2020-01-23,00:00:00,MASCULINO,2020,1
-74.16604394999996,4.603227326848904,07,BOSA,49,APOGEO,2018-03-23,00:00:00,MASCULINO,2018,1
-74.16012786099998,4.569106424849981,19,CIUDAD BOLÍVAR,70,JERUSALEM,2020-11-24,00:00:00,MASCULINO,2020,1
-74.17413492399999,4.607394490848735,08,KENNEDY,48,TIMIZA,2019-08-28,00:00:00,MASCULINO,2019,1
-74.09199999999998,4.561969999850212,04,SAN CRISTÓBAL,34,20 DE JULIO,2022-11-01,00:00:00,MASCULINO,2022,1
-74.12219999999996,4.742039999844356,11,SUBA,71,TIBABUYES,2022-11-13,00:00:00,MASCULINO,2022,1
-74.14539999999994,4.571519999849895,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2022-08-13,00:00:00,MASCULINO,2022,1
