LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,sexual_crimes
-74.10623999999996,4.501459999852217,05,USME,58,COMUNEROS,2021-07-28,00:00:00,FEMENINO,2021,1
-74.13386499999996,4.580927999849597,06,TUNJUELITO,42,VENECIA,2019-08-13,00:00:00,MASCULINO,2019,1
-74.14364399999994,4.551688999850588,19,CIUDAD BOLÍVAR,67,LUCERO,2019-08-06,00:00:00,FEMENINO,2019,1
-74.08742957899995,4.616820641848445,14,LOS MÁRTIRES,102,LA SABANA,2018-02-19,00:00:00,MASCULINO,2018,1
-74.08652999999998,4.732059999844694,11,SUBA,28,EL RINCON,2018-05-16,00:00:00,FEMENINO,2018,1
-74.08884699999999,4.740757999844396,11,SUBA,28,EL RINCON,2018-11-01,00:00:00,FEMENINO,2018,1
-74.09159699999998,4.57250599984988,04,SAN CRISTÓBAL,34,20 DE JULIO,2018-11-28,00:00:00,FEMENINO,2018,1
-74.15055999999998,4.607339999848732,08,KENNEDY,48,TIMIZA,2021-06-15,00:00:00,FEMENINO,2021,1
-74.09688499999999,4.562069999850247,04,SAN CRISTÓBAL,34,20 DE JULIO,2020-03-03,00:00:00,FEMENINO,2020,1
-74.09520299999997,4.516444999851694,05,USME,60,PARQUE ENTRENUBES,2019-10-10,00:00:00,MASCULINO,2019,1
-74.07701236399998,4.657429662847151,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2019-02-02,00:00:00,FEMENINO,2019,1
-74.03265999999996,4.733077999844652,01,USAQUÉN,12,TOBERIN,2019-11-04,00:00:00,FEMENINO,2019,1
-74.08776999999998,4.599839999848981,14,LOS MÁRTIRES,102,LA SABANA,2019-07-15,00:00:00,FEMENINO,2019,1
-74.16142291499995,4.5518086098505375,19,CIUDAD BOLÍVAR,67,LUCERO,2020-01-13,00:00:00,FEMENINO,2020,1
-74.07383854199998,4.704004457845601,11,SUBA,24,NIZA,2020-12-09,00:00:00,MASCULINO,2020,1
-74.12879199999998,4.744151999844298,11,SUBA,71,TIBABUYES,2020-04-15,00:00:00,FEMENINO,2020,1
-74.08723341099994,4.614647575848507,14,LOS MÁRTIRES,102,LA SABANA,2021-01-01,00:00:00,FEMENINO,2021,1
-74.06285339299995,4.6960830378458605,11,SUBA,20,LA ALHAMBRA,2018-01-18,00:00:00,FEMENINO,2018,1
-74.14387999999997,4.687089999846184,09,FONTIBÓN,75,FONTIBON,2020-06-14,00:00:00,FEMENINO,2020,1
-74.11721999999997,4.578679999849659,18,RAFAEL URIBE URIBE,39,QUIROGA,2021-06-07,00:00:00,MASCULINO,2021,1
-74.10571296199998,4.549005972850629,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2018-06-24,00:00:00,FEMENINO,2018,1
-74.12884499999996,4.700318999845722,10,ENGATIVÁ,74,ENGATIVA,2018-11-18,00:00:00,FEMENINO,2018,1
-74.07855722399995,4.675404751846516,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2018-03-06,00:00:00,FEMENINO,2018,1
-74.18232299999994,4.609907999848695,07,BOSA,85,BOSA CENTRAL,2020-06-01,00:00:00,FEMENINO,2020,1
-74.16902499999998,4.571946999849883,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-01-03,00:00:00,FEMENINO,2020,1
-74.19810499999994,4.633124999847934,07,BOSA,87,TINTAL SUR,2021-11-11,00:00:00,FEMENINO,2021,1
-74.14455299999997,4.685158999846228,09,FONTIBÓN,75,FONTIBON,2020-01-03,00:00:00,FEMENINO,2020,1
-74.16843499999999,4.624010999848221,08,KENNEDY,81,GRAN BRITALIA,2019-09-09,00:00:00,FEMENINO,2019,1
-74.18163254199999,4.626383448848149,07,BOSA,84,BOSA OCCIDENTAL,2020-03-06,00:00:00,FEMENINO,2020,1
-74.12668899999994,4.742590999844367,11,SUBA,71,TIBABUYES,2018-02-01,00:00:00,FEMENINO,2018,1
-74.06703999999996,4.654738612847224,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2021-01-15,00:00:00,FEMENINO,2021,1
-74.20593999999994,4.621619999848308,07,BOSA,84,BOSA OCCIDENTAL,2021-06-01,00:00:00,FEMENINO,2021,1
-74.10728763599997,4.498047314852332,05,USME,59,ALFONSO LOPEZ,2019-05-02,00:00:00,MASCULINO,2019,1
-74.14021531799995,4.595002315849144,06,TUNJUELITO,42,VENECIA,2019-06-06,00:00:00,FEMENINO,2019,1
-74.12088799999998,4.478136999852974,05,USME,61,CIUDAD USME,2019-09-27,00:00:00,FEMENINO,2019,1
-74.16016843099999,4.548312029850657,19,CIUDAD BOLÍVAR,67,LUCERO,2018-01-24,00:00:00,FEMENINO,2018,1
-74.13460011699993,4.610474652848646,08,KENNEDY,45,CARVAJAL,2019-04-05,00:00:00,FEMENINO,2019,1
-74.09477599999997,4.706863999845525,10,ENGATIVÁ,29,MINUTO DE DIOS,2018-07-14,00:00:00,FEMENINO,2018,1
-74.18623999999994,4.612889999848581,07,BOSA,85,BOSA CENTRAL,2021-05-11,00:00:00,FEMENINO,2021,1
-74.09124599999996,4.515396999851763,05,USME,52,LA FLORA,2019-08-27,00:00:00,FEMENINO,2019,1
-74.07202999999998,4.5973899998491135,17,CANDELARIA,94,LA CANDELARIA,2019-07-05,00:00:00,FEMENINO,2019,1
-74.07202999999998,4.5973899998491135,17,CANDELARIA,94,LA CANDELARIA,2021-04-14,00:00:00,FEMENINO,2021,1
-74.04603354199998,4.766823465843577,11,SUBA,17,SAN JOSE DE BAVARIA,2020-10-17,00:00:00,FEMENINO,2020,1
-74.11618199999998,4.5199189998516225,05,USME,57,GRAN YOMASA,2021-08-04,00:00:00,FEMENINO,2021,1
-74.01614199999995,4.7352219998445655,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2019-07-10,00:00:00,FEMENINO,2019,1
-74.11917299999999,4.711984999845332,10,ENGATIVÁ,73,GARCES NAVAS,2021-05-12,00:00:00,MASCULINO,2021,1
-74.18343299999998,4.6294839998480315,07,BOSA,84,BOSA OCCIDENTAL,2019-10-11,00:00:00,FEMENINO,2019,1
-74.08325399999995,4.686680999846142,10,ENGATIVÁ,26,LAS FERIAS,2019-07-08,00:00:00,FEMENINO,2019,1
-74.16213511699993,4.569024652850001,19,CIUDAD BOLÍVAR,70,JERUSALEM,2019-03-23,00:00:00,FEMENINO,2019,1
-74.16193699999997,4.5516169998505465,19,CIUDAD BOLÍVAR,67,LUCERO,2020-03-27,00:00:00,MASCULINO,2020,1
-74.05278999999996,4.640186999847664,02,CHAPINERO,90,PARDO RUBIO,2021-12-28,00:00:00,FEMENINO,2021,1
-74.19810599999994,4.633122999847939,07,BOSA,87,TINTAL SUR,2019-06-12,00:00:00,FEMENINO,2019,1
-74.09731254199994,4.575346442849806,18,RAFAEL URIBE URIBE,36,SAN JOSE,2020-09-17,00:00:00,FEMENINO,2020,1
-74.08813854199997,4.693894456845944,10,ENGATIVÁ,26,LAS FERIAS,2020-05-18,00:00:00,FEMENINO,2020,1
-74.13697999999994,4.593569999849208,06,TUNJUELITO,42,VENECIA,2021-08-06,00:00:00,FEMENINO,2021,1
-74.09638311899994,4.727468463844822,11,SUBA,28,EL RINCON,2021-11-16,00:00:00,FEMENINO,2021,1
-74.14737499999995,4.632539999847953,08,KENNEDY,46,CASTILLA,2021-02-20,00:00:00,FEMENINO,2021,1
-74.11759352299998,4.529925183851258,05,USME,56,DANUBIO,2018-04-08,00:00:00,FEMENINO,2018,1
-74.16060599999997,4.616828999848451,08,KENNEDY,47,KENNEDY CENTRAL,2018-05-13,00:00:00,FEMENINO,2018,1
-74.18624399999999,4.616671999848455,07,BOSA,84,BOSA OCCIDENTAL,2019-09-17,00:00:00,MASCULINO,2019,1
-74.11303422099996,4.744300294844325,11,SUBA,71,TIBABUYES,2019-09-02,00:00:00,FEMENINO,2019,1
-74.12389940699995,4.567435854850048,18,RAFAEL URIBE URIBE,54,MARRUECOS,2020-10-11,00:00:00,MASCULINO,2020,1
-74.18806099999995,4.6360089998478315,07,BOSA,86,EL PORVENIR,2018-11-29,00:00:00,MASCULINO,2018,1
-74.07490854199995,4.648514451847395,13,TEUSAQUILLO,100,GALERIAS,2020-08-12,00:00:00,FEMENINO,2020,1
-74.02692099999996,4.7651199998435985,01,USAQUÉN,9,VERBENAL,2020-03-02,00:00:00,FEMENINO,2020,1
-74.09266099999996,4.6151969998484725,16,PUENTE ARANDA,108,ZONA INDUSTRIAL,2020-02-21,00:00:00,FEMENINO,2020,1
-74.09666854199997,4.558064440850359,04,SAN CRISTÓBAL,34,20 DE JULIO,2020-12-13,00:00:00,FEMENINO,2020,1
-74.08689299999998,4.615120999848504,14,LOS MÁRTIRES,102,LA SABANA,2020-09-01,00:00:00,MASCULINO,2020,1
-74.14913599999994,4.510442999851925,19,CIUDAD BOLÍVAR,64,MONTE BLANCO,2018-12-12,00:00:00,MASCULINO,2018,1
-74.19845592199994,4.604600349848851,07,BOSA,85,BOSA CENTRAL,2019-01-01,00:00:00,-,2019,1
