ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
192.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.0,GARCES NAVAS,10.0,ENGATIVA,2.68,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0,47.0,5.0,5.0,22.0,18.0,33.0,64.0
189.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.0,GARCES NAVAS,10.0,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,4.0,22.0,1.0,4.0,2.0,4.0,14.0,19.0
120.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,72.0,BOLIVIA,10.0,ENGATIVA,3.0,82839.0,474.504.159.406,86279.0,181.829.807.579,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,6.0,61.0,1.0,4.0,31.0,16.0,37.0,76.0
187.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,73.0,GARCES NAVAS,10.0,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,9.0,61.0,1.0,20.0,4.0,17.0,36.0,67.0
188.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.0,GARCES NAVAS,10.0,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",1.0,1,3.0,16.0,1.0,3.0,0.0,3.0,9.0,14.0
37.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71.0,TIBABUYES,11.0,SUBA,2.06,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,6.0,46.0,5.0,14.0,7.0,7.0,31.0,48.0
38.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27.0,SUBA,11.0,SUBA,3.0,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,4.0,14.0,0.0,5.0,5.0,2.0,9.0,17.0
36.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71.0,TIBABUYES,11.0,SUBA,2.78,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,5.0,41.0,1.0,2.0,18.0,9.0,21.0,50.0
35.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27.0,SUBA,11.0,SUBA,2.07,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,13.0,35.0,4.0,15.0,2.0,5.0,25.0,36.0
