codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
39.0,2018,1.0,1,2.0,1,5.0,1,0.0,0,0.0,3.0,1410480.0,1306815.0,45.0,15,69.0,378.78,"3,72",591.317,"87,06",RAFAEL URIBE URIBE,QUIROGA,92.0,0.0,36.0,56.0,88243.0,42702.0,45541.0,10.42575615062951,10.42575615062951,13.114139852934288,7.9049647570321255
108.0,2018,0.0,0,0.0,0,0.0,0,1.0,1,2.0,2.685714285714286,33520.0,33976.0,48.0,8,66.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,ZONA INDUSTRIAL,63.0,0.0,15.0,48.0,5977.0,2974.0,3003.0,105.4040488539401,105.4040488539401,161.3987895090787,49.95004995004995
61.0,2018,0.0,0,0.0,0,0.0,0,4.0,1,0.0,1.2366666666666666,79500.0,134960.0,0.0,0,65.0,314.431,"4,07",569.872,"82,91",USME,CIUDAD USME,5.0,0.0,3.0,2.0,22637.0,10939.0,11698.0,2.2087732473384283,2.2087732473384283,1.8283206874485787,2.5645409471704568
1.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,52488.0,63828.0,3.0,3,83.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,PASEO DE LOS LIBERTADORES,14.0,0.0,5.0,9.0,2567.0,1279.0,1288.0,54.53837164004675,54.53837164004675,70.36747458952306,38.81987577639752
46.0,2018,0.0,0,0.0,0,3.0,1,1.0,1,1.0,2.72,884656.0,1003288.0,18.0,6,40.0,979.914,"3,72",999.300,"88,94",KENNEDY,CASTILLA,103.0,0.0,35.0,68.0,138657.0,65654.0,73003.0,7.428402460748465,7.428402460748465,10.357327809425167,4.794323520951194
85.0,2018,1.0,1,1.0,1,3.0,1,2.0,1,1.0,1.9988888888888892,2537808.0,2654832.0,17.0,6,39.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA CENTRAL,111.0,0.0,52.0,59.0,233322.0,112383.0,120939.0,4.757373929590866,4.757373929590866,5.2499043449632055,4.299688272600236
60.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.11,10544.0,15584.0,0.0,0,0.0,314.431,"4,07",569.872,"82,91",USME,PARQUE ENTRENUBES,4.0,0.0,4.0,0.0,1014.0,517.0,497.0,39.447731755424066,39.447731755424066,0.0,80.48289738430584
30.0,2018,1.0,1,4.0,1,6.0,1,0.0,0,5.0,3.001818181818182,1427481.0,1341120.0,25.0,7,42.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOYACA REAL,109.0,0.0,42.0,67.0,125315.0,59415.0,65900.0,8.698080836292542,8.698080836292542,11.276613649751747,6.373292867981791
72.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,3.0,3.0,331356.0,345116.0,4.0,2,21.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOLIVIA,53.0,0.0,27.0,26.0,81481.0,37070.0,44411.0,6.504583890722991,6.504583890722991,7.013757755597518,6.079574880097273
57.0,2018,0.0,0,2.0,1,0.0,0,0.0,0,0.0,1.7740000000000002,1391324.0,1519562.0,3.0,3,23.0,314.431,"4,07",569.872,"82,91",USME,GRAN YOMASA,30.0,0.0,9.0,21.0,123476.0,59837.0,63639.0,2.4296219508244516,2.4296219508244516,3.509534234670856,1.414227124876255
