zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
528,2011,0,0,0,0,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,2,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",2,1,6
528,2019,0,0,0,0,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,2,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",2,1,6
528,2015,0,0,0,0,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,2,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",2,1,6
528,2023,0,0,1,1,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,2,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",2,1,6
529,2023,0,0,0,0,1,1,0,0,1,82,PATIO BONITO,8,KENNEDY,1.88,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",0,0,4
529,2015,0,0,0,0,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,1.88,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",0,0,4
529,2019,0,0,0,0,1,1,0,0,1,82,PATIO BONITO,8,KENNEDY,1.88,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",0,0,4
529,2011,0,0,0,0,0,0,0,0,1,82,PATIO BONITO,8,KENNEDY,1.88,160502,317.321.661.524,174145,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",0,0,4
530,2019,0,0,0,0,0,0,0,0,1,83,LAS MARGARITAS,8,KENNEDY,2,12216,147.241.546.489,14786,100.420.026.498,951.073,979.914,"3,72",999.300,"88,94",1,1,7
530,2015,0,0,0,0,0,0,0,0,1,83,LAS MARGARITAS,8,KENNEDY,2,12216,147.241.546.489,14786,100.420.026.498,951.073,979.914,"3,72",999.300,"88,94",1,1,7
530,2011,0,0,0,0,0,0,0,0,1,83,LAS MARGARITAS,8,KENNEDY,2,12216,147.241.546.489,14786,100.420.026.498,951.073,979.914,"3,72",999.300,"88,94",1,1,7
530,2023,0,0,0,0,0,0,0,0,1,83,LAS MARGARITAS,8,KENNEDY,2,12216,147.241.546.489,14786,100.420.026.498,951.073,979.914,"3,72",999.300,"88,94",1,1,7
531,2023,0,0,0,0,0,0,0,0,2,81,GRAN BRITALIA,8,KENNEDY,2,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",1,1,4
531,2011,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",1,1,4
531,2015,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",1,1,4
531,2019,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",1,1,4
532,2011,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2.01,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",0,0,5
